DIRECTORIO;AREA;ocupados;sexo;estudia;edad;educación
4904025;17;1;1;0;61;3
4904026;17;0;0;0;60;4
4904026;17;0;1;0;24;5
4904026;17;0;1;1;29;6
4904026;17;0;0;0;25;6
4904026;17;0;1;0;28;6
4904026;17;0;0;0;51;5
4904027;17;1;1;0;30;5
4904027;17;1;0;1;34;6
4904027;17;1;1;1;12;4
4904027;17;0;1;0;56;4
4904028;17;0;0;0;51;4
4904029;17;0;0;1;21;6
4904029;17;1;0;0;86;3
4904029;17;0;1;0;24;5
4904030;17;1;0;1;11;3
4904030;17;1;0;1;3;2
4904030;17;0;0;0;43;3
4904031;17;0;0;1;19;6
4904031;17;0;1;0;38;6
4904032;17;0;0;0;39;6
4904033;17;1;1;0;36;5
4904033;17;0;1;1;7;3
4904033;17;0;0;0;63;1
4904033;17;0;1;0;65;4
4904033;17;0;1;1;11;3
4904034;17;0;1;0;55;6
4904034;17;0;0;0;56;4
4904034;17;1;1;1;25;6
4904035;17;0;1;0;42;5
4904035;17;0;0;0;63;3
4904035;17;0;1;0;24;5
4904036;17;1;0;0;61;3
4904036;17;0;0;0;39;6
4904036;17;0;0;0;46;5
4904036;17;0;1;1;45;4
4904153;23;1;1;1;21;4
4904153;23;0;1;1;13;3
4904153;23;1;1;0;27;4
4904153;23;1;0;0;21;5
4904154;23;1;1;1;4;2
4904154;23;0;0;0;20;6
4904154;23;0;0;0;60;3
4904155;23;1;1;0;49;3
4904155;23;0;0;0;56;4
4904156;23;1;0;0;21;5
4904156;23;0;1;0;37;5
4904157;23;0;1;1;7;3
4904157;23;0;1;0;33;5
4904158;23;1;0;0;21;4
4904158;23;1;0;1;5;2
4904159;23;1;0;;2;
4904159;23;1;1;;1;
4904160;23;0;1;0;45;5
4904160;23;0;0;0;48;5
4904160;23;0;1;0;19;5
4904161;23;0;0;1;7;3
4904161;23;1;1;0;40;6
4904161;23;1;0;0;41;5
4904161;23;1;1;1;20;6
4904161;23;1;0;0;48;4
4904161;23;1;1;0;28;4
4904161;23;1;1;0;70;1
4904161;23;0;1;0;57;3
4904161;23;0;1;0;42;5
4904161;23;1;0;0;37;4
4904162;23;1;0;0;18;5
4904162;23;0;0;1;13;4
4904163;23;1;0;;2;
4904163;23;1;1;0;72;3
4904163;23;1;1;0;62;3
4904164;23;0;0;0;52;4
4904165;23;0;1;0;31;3
4904165;23;0;1;0;70;4
4904166;23;0;1;0;27;4
4904166;23;0;0;0;23;4
4904166;23;1;1;1;6;3
4904166;23;0;0;;1;
4904166;23;0;1;0;60;3
4904166;23;0;0;0;55;3
4904166;23;1;0;0;37;1
4904167;23;1;1;0;47;5
4904167;23;1;1;0;28;6
4904168;23;1;0;0;20;4
4904168;23;1;0;;0;
4904168;23;0;1;0;60;6
4904169;23;1;0;0;54;6
4904169;23;0;1;0;21;5
4904169;23;1;0;1;21;6
4904169;23;1;1;0;71;6
4904169;23;0;0;0;71;6
4904170;23;0;0;0;43;3
4904170;23;1;0;1;18;5
4904171;23;1;1;0;60;4
4904171;23;1;0;0;51;4
4904172;23;1;0;0;44;4
4904172;23;0;1;0;26;4
4904172;23;0;1;1;22;6
4904172;23;0;0;1;15;4
4904173;23;0;1;0;57;3
4904173;23;0;0;0;70;3
4904174;23;1;1;0;75;3
4904174;23;0;0;0;74;4
4904174;23;0;1;0;52;5
4904175;23;1;0;0;43;5
4904175;23;0;1;1;11;4
4904175;23;0;1;0;62;3
4904175;23;0;0;0;65;1
4904176;23;1;1;0;45;3
4904176;23;0;1;0;34;4
4904176;23;0;0;0;17;4
4904177;23;1;0;1;24;6
4904178;23;0;1;0;28;6
4904178;23;0;0;0;28;6
4904179;23;0;0;0;84;3
4904179;23;1;1;0;56;4
4904179;23;1;1;0;42;6
4904180;23;0;0;0;39;5
4904181;23;0;1;1;4;2
4904181;23;1;0;0;77;3
4904182;23;1;0;1;22;6
4904183;23;1;1;0;38;6
4904184;23;0;0;0;35;6
4904184;23;0;1;1;5;2
4904185;23;1;0;0;84;5
4904185;23;1;0;0;85;4
4904186;23;0;0;0;82;4
4904186;23;0;0;0;74;5
4904186;23;0;0;0;72;6
4904186;23;0;1;0;71;6
4904187;23;0;1;0;55;4
4904187;23;0;0;0;41;5
4904188;23;0;1;0;22;5
4904188;23;1;0;1;12;4
4904189;23;0;0;0;65;5
4904189;23;0;0;0;47;4
4904190;23;1;1;1;25;6
4904191;23;0;1;1;17;4
4904191;23;1;0;0;51;4
4904191;23;0;1;0;61;3
4904192;23;0;1;0;25;6
4904192;23;0;0;0;87;1
4904192;23;0;1;0;70;1
4904193;23;1;0;0;56;5
4904193;23;1;1;0;58;3
4904194;23;1;0;0;59;3
4904194;23;0;0;0;30;4
4904195;23;0;1;1;14;4
4904196;23;1;1;1;13;4
4904197;23;1;0;0;26;6
4904197;23;1;0;0;24;6
4904197;23;0;0;0;35;6
4904197;23;0;1;1;5;2
4904197;23;0;1;0;57;6
4904198;23;0;0;0;55;6
4904198;23;1;1;1;22;6
4904198;23;1;1;0;42;6
4904198;23;1;0;0;44;6
4904199;23;1;1;1;17;5
4904200;23;0;1;1;14;4
4904200;23;0;1;0;59;5
4904201;23;1;0;0;59;4
4904201;23;0;1;0;31;6
4904201;23;1;0;0;26;5
4904202;23;1;1;0;40;5
4904202;23;1;0;0;43;5
4904202;23;0;0;1;13;4
4904202;23;0;1;0;26;4
4904203;23;1;0;0;21;3
4904204;23;1;0;;2;
4904204;23;0;1;;1;
4904205;23;0;1;0;48;5
4904205;23;1;0;0;39;6
4904205;23;0;0;1;10;3
4904205;23;0;0;;2;
4904206;23;0;1;0;23;5
4904206;23;0;0;0;16;4
4904206;23;0;1;0;40;6
4904206;23;0;0;0;31;5
4904207;23;1;0;1;7;3
4904207;23;0;1;0;41;5
4904208;23;0;0;0;37;6
4904208;23;0;1;1;10;3
4904208;23;1;1;0;51;5
4904209;23;1;0;0;49;3
4904209;23;0;1;1;16;4
4904209;23;1;0;0;42;5
4904209;23;1;1;0;49;4
4904209;23;1;1;0;24;5
4904209;23;0;0;0;21;3
4904210;23;0;1;1;5;1
4904210;23;0;1;;1;
4904211;23;1;1;0;22;5
4904211;23;0;0;0;26;5
4904211;23;0;1;;0;
4904211;23;1;1;0;19;5
4904212;23;1;0;0;17;3
4904213;23;1;0;;2;
4904213;23;0;0;0;34;6
4904214;23;0;1;0;5;1
4904214;23;0;1;0;20;3
4904214;23;1;1;0;47;5
4904215;23;1;0;1;30;6
4904216;23;1;0;1;11;4
4904216;23;1;1;1;7;3
4904216;23;1;1;0;41;5
4904217;23;1;0;0;41;3
4904217;23;0;0;0;26;5
4904217;23;1;0;1;10;3
4904218;23;1;0;0;26;5
4904218;23;0;1;1;4;2
4904218;23;0;0;0;71;1
4904219;23;1;1;0;58;1
4904219;23;0;0;0;69;1
4904219;23;1;1;0;43;3
4904219;23;0;1;0;24;5
4904220;23;1;1;0;22;5
4904220;23;0;0;0;21;5
4904220;23;1;1;0;37;4
4904220;23;0;1;0;36;4
4904221;23;1;1;0;40;4
4904222;23;1;0;0;31;5
4904222;23;1;1;0;3;1
4904466;50;1;1;0;48;6
4904467;50;0;0;0;49;6
4904467;50;0;1;1;20;6
4904467;50;1;1;0;47;3
4904468;50;0;0;0;46;3
4904468;50;0;1;0;28;4
4904468;50;1;1;0;25;5
4904469;50;0;1;0;18;5
4904469;50;0;1;0;19;5
4904470;50;0;0;0;33;5
4904470;50;0;1;0;24;5
4904471;50;0;0;0;20;4
4904471;50;0;1;0;42;6
4904472;50;1;0;0;38;5
4904473;50;1;1;1;16;4
4904473;50;0;0;1;4;2
4904473;50;0;1;0;3;1
4904474;50;1;1;0;72;1
4904474;50;1;1;0;48;3
4904474;50;0;0;0;44;3
4904474;50;0;0;0;3;1
4904474;50;0;1;0;23;5
4904475;50;0;0;0;19;5
4904475;50;1;0;;0;
4904476;50;1;0;0;18;5
4904476;50;0;1;0;42;5
4904476;50;0;0;0;45;5
